Algorithmus;k;iter;stdev;reg;lr;Data_rep;test;m(AE);M(AE);m(RE);M(RE);gini
mcmc;4;600;0.05;0;0;indicators;FALSE;2.748390074;2.19661;1.310758949;0.669910909;0.329415966
mcmc;4;800;0.05;0;0;indicators;FALSE;2.74665906;2.19035;1.31103331;0.671942308;0.334030509
mcmc;4;1000;0.05;0;0;indicators;FALSE;2.74249848;2.19361;1.306996939;0.67058;0.337118894
mcmc;4;1200;0.05;0;0;indicators;FALSE;2.743389703;2.18962;1.30690258;0.671025;0.335744959
mcmc;4;1400;0.05;0;0;indicators;FALSE;2.750480124;2.20641;1.313522784;0.669873571;0.329403546
mcmc;4;1600;0.05;0;0;indicators;FALSE;2.745254257;2.18878;1.308867459;0.67185;0.33513146
mcmc;4;1800;0.05;0;0;indicators;FALSE;2.746380025;2.18758;1.309523708;0.6716175;0.334362185
mcmc;4;2000;0.05;0;0;indicators;FALSE;2.744317717;2.18751;1.308226323;0.671531818;0.336502997
mcmc;6;200;0.05;0;0;indicators;FALSE;2.758304186;2.21581;1.315814112;0.668465;0.321097586
mcmc;6;400;0.05;0;0;indicators;FALSE;2.759925333;2.19897;1.31310694;0.66943;0.316370308
mcmc;6;600;0.05;0;0;indicators;FALSE;2.747192906;2.18662;1.309066851;0.671749;0.332654932
mcmc;6;800;0.05;0;0;indicators;FALSE;2.746332796;2.18193;1.309299632;0.67101;0.333889184
mcmc;6;1000;0.05;0;0;indicators;FALSE;2.752625411;2.19858;1.312871156;0.670216667;0.328687686
mcmc;6;1200;0.05;0;0;indicators;FALSE;2.745465381;2.18474;1.308819196;0.670723333;0.335756861
mcmc;6;1400;0.05;0;0;indicators;FALSE;2.751343041;2.19165;1.30815479;0.668906667;0.328616303
mcmc;6;1600;0.05;0;0;indicators;FALSE;2.742436438;2.175;1.305154959;0.670629333;0.339039156
mcmc;6;1800;0.05;0;0;indicators;FALSE;2.740992162;2.17374;1.303711477;0.66763;0.339080223
mcmc;6;2000;0.05;0;0;indicators;FALSE;2.745804355;2.18266;1.307140261;0.670381538;0.334989018
mcmc;8;200;0.05;0;0;indicators;FALSE;2.782975099;2.20925;1.324388452;0.667971071;0.307840767
mcmc;8;400;0.05;0;0;indicators;FALSE;2.757361127;2.19278;1.313458419;0.669177;0.322638246
mcmc;8;600;0.05;0;0;indicators;FALSE;2.750049765;2.1768;1.308608757;0.669939167;0.332608816
mcmc;8;800;0.05;0;0;indicators;FALSE;2.74735913;2.1783;1.30715855;0.669344667;0.331154756
mcmc;8;1000;0.05;0;0;indicators;FALSE;2.750280703;2.17955;1.308820373;0.669745714;0.332283472
mcmc;8;1200;0.05;0;0;indicators;FALSE;2.754256893;2.18039;1.310110775;0.670365556;0.328136098
mcmc;8;1400;0.05;0;0;indicators;FALSE;2.74792343;2.17883;1.305916334;0.669228571;0.333896868
mcmc;8;1600;0.05;0;0;indicators;FALSE;2.745120118;2.16955;1.306148293;0.66932;0.336429985
mcmc;8;1800;0.05;0;0;indicators;FALSE;2.744053529;2.17787;1.306150006;0.669932308;0.337915992
mcmc;8;2000;0.05;0;0;indicators;FALSE;2.747469374;2.17295;1.305823183;0.670536923;0.332726431
mcmc;10;200;0.05;0;0;indicators;FALSE;2.776088708;2.19991;1.319527464;0.669106429;0.309729186
mcmc;10;400;0.05;0;0;indicators;FALSE;2.755538605;2.17737;1.310713248;0.6685075;0.325676287
mcmc;10;600;0.05;0;0;indicators;FALSE;2.750248548;2.17976;1.307889119;0.67051;0.331207604
mcmc;10;800;0.05;0;0;indicators;FALSE;2.748811685;2.17806;1.30594032;0.6676;0.331896241
mcmc;10;1000;0.05;0;0;indicators;FALSE;2.752992805;2.17794;1.306910645;0.667960625;0.327374612
mcmc;10;1200;0.05;0;0;indicators;FALSE;2.746806533;2.17544;1.305596795;0.667801111;0.333475977
mcmc;10;1400;0.05;0;0;indicators;FALSE;2.745420317;2.17636;1.305111403;0.668348571;0.333969184
mcmc;10;1600;0.05;0;0;indicators;FALSE;2.745081931;2.16999;1.304596538;0.66829;0.336415166
mcmc;10;1800;0.05;0;0;indicators;FALSE;2.74755954;2.16906;1.305542358;0.66909;0.333983125
mcmc;10;2000;0.05;0;0;indicators;FALSE;2.764581447;2.18795;1.315040993;0.667816154;0.319365364
mcmc;12;200;0.05;0;0;indicators;FALSE;2.777662723;2.19092;1.318478901;0.666491429;0.305723634
mcmc;12;400;0.05;0;0;indicators;FALSE;2.775294706;2.19342;1.319137553;0.66882;0.310402951
mcmc;12;600;0.05;0;0;indicators;FALSE;2.75062681;2.18288;1.306685564;0.6694525;0.330347417
mcmc;12;800;0.05;0;0;indicators;FALSE;2.748662644;2.16899;1.304945306;0.6685192;0.332443883
mcmc;12;1000;0.05;0;0;indicators;FALSE;2.757519514;2.17932;1.308290301;0.66827;0.324256701
mcmc;12;1200;0.05;0;0;indicators;FALSE;2.748829921;2.17783;1.30545591;0.668386667;0.332529488
mcmc;12;1400;0.05;0;0;indicators;FALSE;2.754455462;2.16733;1.307018004;0.668451429;0.329862997
mcmc;12;1600;0.05;0;0;indicators;FALSE;2.749765628;2.16776;1.304530487;0.669586;0.331367286
mcmc;12;1800;0.05;0;0;indicators;FALSE;2.74437201;2.16071;1.302008309;0.667825;0.337087502
mcmc;12;2000;0.05;0;0;indicators;FALSE;2.747217838;2.16474;1.303836269;0.666563125;0.333302282
mcmc;14;200;0.05;0;0;indicators;FALSE;2.763613214;2.18349;1.311685288;0.669342143;0.318805121
mcmc;14;400;0.05;0;0;indicators;FALSE;2.759580597;2.18234;1.311136227;0.66689;0.325095056
mcmc;14;600;0.05;0;0;indicators;FALSE;2.752782665;2.17217;1.307437934;0.669683333;0.329790081
mcmc;14;800;0.05;0;0;indicators;FALSE;2.749645605;2.17383;1.304908183;0.665955;0.331748178
mcmc;14;1000;0.05;0;0;indicators;FALSE;2.759325166;2.17395;1.307837907;0.66967;0.323416804
mcmc;14;1200;0.05;0;0;indicators;FALSE;2.751883088;2.16866;1.305385852;0.667713;0.329488895
mcmc;14;1400;0.05;0;0;indicators;FALSE;2.750098608;2.16983;1.304617415;0.66728;0.332156761
mcmc;14;1600;0.05;0;0;indicators;FALSE;2.747382716;2.16449;1.302327914;0.668435385;0.334337268
mcmc;14;1800;0.05;0;0;indicators;FALSE;2.750244526;2.17433;1.306273703;0.669615;0.331000612
mcmc;14;2000;0.05;0;0;indicators;FALSE;2.750143215;2.17122;1.304918123;0.668355;0.331029797
mcmc;16;200;0.05;0;0;indicators;FALSE;2.774112871;2.19858;1.319110855;0.667733529;0.31458936
mcmc;16;400;0.05;0;0;indicators;FALSE;2.762613608;2.17946;1.311914435;0.66921;0.320298207
mcmc;16;600;0.05;0;0;indicators;FALSE;2.757515353;2.17987;1.308301367;0.66302;0.325878502
mcmc;16;800;0.05;0;0;indicators;FALSE;2.753232696;2.16841;1.306361152;0.667883333;0.328694563
mcmc;16;1000;0.05;0;0;indicators;FALSE;2.754137668;2.16682;1.305716575;0.66793;0.328446397
mcmc;16;1200;0.05;0;0;indicators;FALSE;2.751442771;2.16659;1.304826566;0.667670769;0.328969912
mcmc;16;1400;0.05;0;0;indicators;FALSE;2.753218006;2.17348;1.306439794;0.667814167;0.329184377
mcmc;16;1600;0.05;0;0;indicators;FALSE;2.748408691;2.16665;1.303508525;0.669154286;0.332989532
mcmc;16;1800;0.05;0;0;indicators;FALSE;2.754854782;2.16559;1.305919384;0.667965;0.327249666
mcmc;16;2000;0.05;0;0;indicators;FALSE;2.745567969;2.16212;1.302468742;0.667905;0.336849248
mcmc;4;200;0.1;0;0;indicators;FALSE;2.884818419;2.25906;1.388948044;0.679846;0.260143665
mcmc;4;400;0.1;0;0;indicators;FALSE;2.852952457;2.26061;1.367319702;0.671822;0.269117775
mcmc;4;600;0.1;0;0;indicators;FALSE;2.80452192;2.23726;1.343238754;0.67146;0.296028729
mcmc;4;800;0.1;0;0;indicators;FALSE;2.770472201;2.2205;1.32496406;0.67112;0.315483965
